block_id,pid,gpu_index,gpu_name,used_gpu_memory,avg_gpu_util,nodename
block-375ec,3490407,0,Tesla T4,1649 MiB,21.26,gpunode1
block-3493d,3490599,0,Tesla T4,2295 MiB,21.26,gpunode1
block-e8baa,3500102,0,Tesla T4,2841 MiB,21.26,gpunode1
block-6b146,3507704,0,Tesla T4,463 MiB,21.26,gpunode1
block-4a2a7,3516836,0,Tesla T4,1991 MiB,21.26,gpunode1
block-e877a,2183828,4,Tesla T4,1699 MiB,42.62,gpunode1
block-ee5f0,2186682,4,Tesla T4,379 MiB,42.62,gpunode1
block-bfc4c,2182589,4,Tesla T4,2489 MiB,42.62,gpunode1
block-7944f,2198329,4,Tesla T4,379 MiB,42.62,gpunode1
block-97744,2196077,4,Tesla T4,1769 MiB,42.62,gpunode1
block-4beea,2275298,4,Tesla T4,1699 MiB,42.62,gpunode1
block-5b38e,2275857,4,Tesla T4,379 MiB,42.62,gpunode1
block-e4aff,2285393,4,Tesla T4,379 MiB,42.62,gpunode1
block-bc797,2209942,0,Tesla T4,1649 MiB,14.03,gpunode2
block-22462,2210152,0,Tesla T4,2295 MiB,14.03,gpunode2
block-0e430,2216285,0,Tesla T4,2841 MiB,14.03,gpunode2
block-20e99,2221335,0,Tesla T4,463 MiB,14.03,gpunode2
block-36f06,1626735,1,Tesla T4,1577 MiB,39.66,gpunode2
block-22b2a,1626645,1,Tesla T4,2295 MiB,39.66,gpunode2
block-054e9,1634520,1,Tesla T4,379 MiB,39.66,gpunode2
block-1dd2a,1642616,1,Tesla T4,463 MiB,39.66,gpunode2
block-b2df9,4035537,1,Tesla T4,463 MiB,39.66,gpunode2
block-0747e,2507819,1,Tesla T4,1577 MiB,39.66,gpunode2
block-d7acb,2507828,1,Tesla T4,2295 MiB,39.66,gpunode2
block-89530,2517754,1,Tesla T4,379 MiB,39.66,gpunode2
block-e2b72,2546305,1,Tesla T4,463 MiB,39.66,gpunode2
block-c4434,7963,4,Tesla T4,1699 MiB,54.85,gpunode2
block-7fbb0,10355,4,Tesla T4,379 MiB,54.85,gpunode2
block-15f51,6108,4,Tesla T4,2489 MiB,54.85,gpunode2
block-48148,19164,4,Tesla T4,379 MiB,54.85,gpunode2
block-e3009,17292,4,Tesla T4,1769 MiB,54.85,gpunode2
block-dd842,61042,4,Tesla T4,1699 MiB,54.85,gpunode2
block-cdecf,61379,4,Tesla T4,379 MiB,54.85,gpunode2
block-72006,66867,4,Tesla T4,379 MiB,54.85,gpunode2
block-771a0,376882,0,Tesla T4,1991 MiB,58.6,gpunode3
block-92e75,4017124,0,Tesla T4,1991 MiB,58.6,gpunode3
block-c8169,4028398,0,Tesla T4,2841 MiB,58.6,gpunode3
block-09584,3036007,0,Tesla T4,463 MiB,58.6,gpunode3
block-ba87e,3075866,0,Tesla T4,463 MiB,58.6,gpunode3
block-d4568,3104568,0,Tesla T4,463 MiB,58.6,gpunode3
block-1bb12,186714,0,Tesla T4,463 MiB,58.6,gpunode3
block-fc59c,203754,0,Tesla T4,463 MiB,58.6,gpunode3
block-ad038,750761,1,Tesla T4,1577 MiB,24.32,gpunode3
block-66099,750762,1,Tesla T4,2295 MiB,24.32,gpunode3
block-1e07c,763926,1,Tesla T4,1991 MiB,24.32,gpunode3
block-4ea83,1085908,2,Tesla T4,2295 MiB,24.54,gpunode3
block-fdecf,1097972,2,Tesla T4,3209 MiB,24.54,gpunode3
block-bda3e,1121692,2,Tesla T4,463 MiB,24.54,gpunode3
block-ba99e,1704736,4,Tesla T4,1699 MiB,26.39,gpunode3
block-97bba,1706736,4,Tesla T4,379 MiB,26.39,gpunode3
block-f498b,1703594,4,Tesla T4,2489 MiB,26.39,gpunode3
block-57fae,1713421,4,Tesla T4,1769 MiB,26.39,gpunode3
block-10f98,1714955,4,Tesla T4,379 MiB,26.39,gpunode3
block-431b8,318897,0,Tesla T4,1577 MiB,71.91,gpunode4
