user_index,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
0,0.082,0.072,0.052,0.053,0.125,0.057,0.095,0.417,0.462,0.848,0.892,0.939,0.439,0.511,0.953,0.884,0.886,0.927,0.512,0.529,0.395,0.317,0.151,0.082
1,0.096,0.104,0.046,0.054,0.055,0.103,0.284,0.539,0.811,0.919,0.939,0.96,0.932,0.88,0.955,0.943,0.852,0.832,0.701,0.609,0.52,0.407,0.322,0.205
2,0.096,0.094,0.047,0.052,0.046,0.095,0.282,0.53,0.872,1.087,0.979,1.048,0.951,0.989,0.909,1.058,0.869,0.75,0.754,0.648,0.495,0.374,0.274,0.185
3,0.332,0.908,0.075,0.202,0.403,0.907,0.873,0.927,0.55,0.936,0.328,0.81,0.629,0.412,0.529,0.567,0.444,0.924,0.371,0.619,0.334,0.307,0.85,0.442
4,0.054,0.056,0.112,0.198,0.164,0.192,0.198,0.527,0.566,0.863,1.0,0.919,0.459,0.58,0.938,0.813,0.992,0.917,0.308,0.389,0.309,0.51,0.18,0.066
5,0.095,0.096,0.052,0.053,0.054,0.11,0.309,0.512,0.73,0.925,1.061,1.023,0.951,0.988,0.988,1.055,0.862,0.871,0.748,0.576,0.469,0.424,0.313,0.209
6,0.485,0.561,0.394,0.053,0.068,0.192,0.078,0.078,0.107,0.336,0.538,0.892,0.83,0.864,0.466,0.602,0.368,0.678,0.851,0.848,0.812,0.589,0.484,0.644
7,0.336,0.371,0.691,0.367,0.428,0.415,0.395,0.372,0.272,0.449,0.187,0.955,0.132,0.561,0.507,0.217,0.322,0.513,0.394,0.534,0.147,0.268,0.579,0.832
8,0.207,0.369,0.673,0.742,0.747,0.538,0.872,0.541,0.847,0.658,0.13,0.905,0.629,0.247,0.922,0.874,0.627,0.788,0.716,0.946,0.581,0.636,0.359,0.287
9,0.122,0.143,0.186,0.188,0.078,0.167,0.82,0.884,0.851,0.859,0.805,0.313,0.689,0.316,0.692,0.301,0.693,0.45,0.35,0.368,0.405,0.303,0.179,0.123
